Num;                 Наименование вещества                ;  N CAS   ;Формула; Величина ПДК, мг/л  ;Лимитирующий показатель вредности      ;Класс опасности
67; 1-Амино-4-метилбензол                                                                                                  ; 106-49-0 ;CHN                ;0,6; орг.зап.         ;3
68; N-(4-Амино-3-метилфенил)-1,4-бензохинонимин                                                                            ;          ;CHNO               ;1;  с.-т.           ;2
69; 1-Амино-2-метоксибензол                                                                                                ; 90-04-0  ;CHNO               ;0,02;  с.-т.           ;2
70; 1-Амино-4-метоксибензол                                                                                                ; 104-94-9 ;CHNO               ;0,02;  с.-т.           ;2
71; 4-Аминонафталин-1,5-дисульфонат натрия                                                                                 ;          ;CHNNaOS            ;10;   общ.           ;4
72; 3-Аминонафталин-1,5-дисульфоновая кислота                                                                              ;          ;CHNOS              ;10;   общ.           ;4
73; 4-Амино-1,5-нафталиндисульфоновая кислота                                                                              ; 117-55-5 ;CHNOS              ;5;   общ.           ;4
74; 1-Амино-2-нитробензол                                                                                                  ; 88-74-4  ;CHNO               ;0,01; орг.окр.         ;3
75; 1-Амино-3-нитробензол                                                                                                  ; 99-09-2  ;СН NO              ;0,15; орг.окр.         ;3
76; 1-Амино-4-нитробензол                                                                                                  ; 100-01-6 ;CH NO              ;0,05;  с.-т.           ;3
77; 1-Амино-4-нитробензол-2-сульфонат аммония                                                                              ;          ;CHNOS              ;0,08; орг.окр.         ;4
78; 4-Амино-2-нитробензолсульфоновая кислота                                                                               ;4616-84-2 ;CH NO              ;0,9; орг.окр.         ;4
79; 1-Амино-2-нитро-4-хлорбензол                                                                                           ; 89-63-4  ;CHClNO             ;0,025; орг.окр.         ;3
80; 2-Аминопропан                                                                                                          ; 75-31-0  ;CHN                ;2;  с.-т.           ;3
81; 1-Аминопропан-2-ол                                                                                                     ; 78-96-6  ;CHNO               ;0,3;   с-т.           ;2
82; 4-Амино-2,2,6,6-тетраметилпиперидин                                                                                    ;36768-62-4;CHN                ;4;  с.-т.           ;2
83; 4-Амино-N-2-тиазолилбензол-сульфонамид; 72-14-0  ;CHNOS              ;1;   общ.           ;3
84; 1-Амино-2,4,6-триметилбензол                                                                                           ; 88-05-1  ;CHN                ;0,01;  с.-т.           ;2
85; 4-Амино-2-(трихлорметил)-3,5-дихлорпиридин                                                                             ;14321-05-2;CHClN              ;0,02;  с.-т.           ;2
86; 4-Амино-2-(трихлорметил)-3,5,6-трихлорпиридин                                                                          ;5005-62-9 ;CHClN              ;0,02;   с-т.           ;2
87; 4-Амино-3,5,6-трихлорпиридин-2-карбонат калия                                                                          ;2545-60-0 ;CHClKNO            ;10;  с.-т.           ;2
88; 4-Амино-3,5,6-трихлорпиридин-2-карбонат натрия                                                                         ;50655-56-6;CHClNNaO           ;10;   с-т.           ;2
89; 4-Амино-3,5,6-трихлор-2-пиридинкарбоновая кислота                                                                      ;01.02.1918;CHClNO             ;10;  с.-т.           ;3
90; 7-(D-альфа-Аминофенилацетамидо)-3-метил-3-цефем-4-карбоновая кислота                                                   ;15686-71-2;CHNOS              ;0,0005;  с.-т.           ;1
91; [2S-[2альфа,5альфа,6бета]]-6-[(Аминофенилацетил)амино]-3,3-диметил-7-оксо-4-тиа-1-азабицик-ло[3,2,0]гептен-2-карбоновая кислота; 69-53-4  ;CHNOS              ;0,02;  с.-т.           ;2
92; 5-Амино-2-фенил-4-хлорпиридазин-3-(2Н)-он                                                                              ;1698-60-8 ;CHClNO             ;2;  с.-т.           ;2
93; 5-Амино-2-хлорбензойная кислота                                                                                        ; 89-54-3  ;CHClNO             ;2;   общ.           ;4
94; 1-Амино-З-хлорбензол                                                                                                   ; 108-42-9 ;CHCIN              ;0,2;  с.-т.           ;2
95; 1-Амино-4-хлорбензол                                                                                                   ; 106-47-8 ;CHCIN              ;0,2;  с.-т.           ;2
96; 2-Аминоэтанол                                                                                                          ; 141-43-5 ;CHNO               ;0,5;  с.-т.           ;2
97; 2-Аминоэтансульфоновая кислота                                                                                         ; 107-35-7 ;CHNOS              ;0,3;   общ.           ;3
98; (2-Аминоэтил)карбамодитионовая кислота                                                                                 ;20950-84-9;CHNS               ;0,8;  с.-т.           ;2
99; 1-(2-Аминоэтил)пиперазин                                                                                               ; 140-31-8 ;CPN                ;0,6;  с.-т.           ;2
100; N-(2-Аминоэтил)этан-1,2-диамин                       ; 111-40-0   ;CHN                ;0,2;  орг.зап.        ;4
101; 1-Амино-4-этоксибензол                               ; 156-43-4   ;CHNO               ;0,02;    с.-т.         ;2
102; 2-Амино-2-этокси-6-нафталинсульфоновая кислота       ;            ;CHNOS              ;2,5;  орг.окр.        ;4
103; Аммиак и аммоний-ион /по азоту/                      ; 7664-41-7  ;NH                 ;1,5;  орг.зап.        ;4
104; диАммоний пероксидисульфат                           ; 7727-54-0  ;HNOS               ;0,5;    с.-т.         ;2
105; Аммоний перхлорат                                    ; 7790-98-9  ;HClNO              ;5;    с.-т.         ;2
106; диАммоний сульфат /по азоту/                         ; 7783-20-2  ;HNOS               ;1; орг.привк.       ;3
107; АМФИКОР (ингибитор сероводородной коррозии)          ;            ;                   ;0,22;    орг.          ;4
108; АНСК-50 (ингибитор атмосферной коррозии)             ;            ;                   ;0,5;    с.-т.         ;3
109; Антрацен-9,10-дион                                   ;  84-65-1   ;CHO                ;10;    с.-т.         ;3
110; Антрацен-9,10-дион-1-сульфонат натрия                ;60274-89-7  ;CHNaOS             ;10;    общ.          ;4
111; Антрацен-9,10-дион-2-сульфонат натрия                ; 131-08-8   ;CHNaOS             ;10;    общ.          ;4
112; АПН-2 (флотореагент)                                 ;            ;                   ;0,05;  орг.зап.        ;3
113; Ацетальдегид                                         ;  75-07-0   ;СНО                ;0,2;  орг.зап.        ;4
114; S-(2-Ацетамидоэтил)-O,O-диметилдитиофосфат           ;13265-60-6  ;CHNOPS             ;0,1;  орг.зап.        ;4
115; Ацетат кобальта тетрагидрат /по кобальту/            ; 6147-53-1  ;СНСоО + HO         ;0,1;    с.-т.         ;2
116; N-Ацетил-DL-2-амино-3,3-диметилпропановая кислота; 3067-19-4  ;CHNO               ;2,5;    общ.          ;3
117; N-Ацетил-DL-2-амино-3-метилбутановая кислота         ; 348-67-4   ;CHNOS              ;0,7;  орг.зап.        ;3
118; (6R-транс)-3-[(Ацетилокси)метил]-7-амино-8-оксо-5-тиа-1-азабицикло(4,2,0]окт-2-ен-2-карбоновая кислота; 957-68-6   ;CHNOS              ;0,001;    с.-т.         ;2
119; Ацетоксим                                            ; 546-88-3   ;CHNO               ;8;    с.-т          ;2
120; Ацетонитрил                                          ;  75-05-8   ;CHN                ;0,7;  орг.зап.        ;3
121; Барий                                                ; 7440-39-3  ;Ba                 ;0,7;    с.-т.         ;2
122; Белково-витаминный концентрат                        ;            ;                   ;0,02;    с.-т.         ;3
123; Бензальдегид                                         ; 100-52-7   ;СНО                ;0,003;  орг.зап.        ;4
124; Бензальдегид-2,4-дисульфонат динатрия                ;            ;CHNaOS             ;0,5;    общ.          ;4
125; Бенз(а)пирен                                         ;  50-32-8   ;СН                 ;0,000001;    с.-т.         ;1
126; Бензилбензоат                                        ; 120-51-4   ;СНО                ;0,4;    общ.          ;3
127; Бензилкарбинол                                       ; 100-51-6   ;СНО                ;0,4;    общ.          ;3
128; 3-Бензил-1-метилбензол                               ; 620-47-3   ;СН                 ;0,08;  орг.зап.        ;2
129; Бензил-1,3,4,5-тетрагидробензоат                     ;            ;СНО                ;0,1;    общ.          ;3
130; Бензилцианид                                         ; 140-29-4   ;CHN                ;0,03;  орг.зап.        ;4
131; Бензин                                               ; 8032-32-4  ;                   ;0,1;  орг.зап.        ;3
132; Бензоат калия                                        ; 582-25-2   ;СНКО               ;7,5; орг.привк.       ;3
133; 1Н,3Н-Бензо[1,2-с:4,5с`]дифуран-1,3,5,6-тетрон;  89-32-7   ;СНО                ;0,06;    общ.          ;3
134; Бензойная кислота                                    ;  65-85-0   ;СНО                ;0,6;    общ.          ;4
135; Бензоксазол-2(3Н)-он                                 ;  59-49-4   ;CHNO               ;0,1;    с.-т.         ;2
136; Бензол                                               ;  71-43-2   ;СН                 ;0,01;    с.-т.         ;1
137; Бензол-1,3-дикарбонилдихлорид                        ;  99-63-8   ;CHClO              ;0,08;  орг.зап.        ;4
138; Бензол-1,4-дикарбонилдихлорид                        ; 100-20-9   ;CHClO              ;0,02;  орг.зап.        ;4
139; Бензол-1,3-дикарбонитрил                             ; 626-17-5   ;CHN                ;5;    с.-т.         ;3
140; Бензол-1,2-дикарбоновая кислота                      ;  88-99-3   ;СНО                ;0,5;    общ.          ;3
141; Бензол-1,3-дикарбоновая кислота                      ; 121-91-5   ;СНО                ;0,1;    общ.          ;4
142; Бензол-1,4-дикарбоновая кислота                      ; 100-21-0   ;СНО                ;0,1;    общ.          ;4
143; Бензолсульфамид                                      ;  98-10-2   ;CHNOS              ;6;    с.-т.         ;3
144; Бензолсульфонилхлорид                                ;  98-09-9   ;CHClOS             ;0,5;  орг.зап.        ;4
145; Бензотиазол-2-тион                                   ; 149-30-4   ;CHNS               ;5;  орг.зап.        ;4
146; 1,2,3-1H-Бензотриазол                                ;  95-14-7   ;CHN                ;0,1;    с.-т.         ;3
147; 4-(2-Бензтиазолтио)морфолин                          ; 102-77-2   ;CHNOS              ;0,5;    общ.          ;3
148; Бериллий                                             ; 7440-41-7  ;Be                 ;0,0002;    с.-т.         ;1
149; 2,2`-Бипиридин                                       ; 366-18-7   ;CHN                ;0,03;  орг.зап.        ;3
150; 4,4`-.Бипиридин                                      ; 553-26-4   ;CHN                ;0,03;  орг.зап.        ;4
151; 4,4`-Бипиридин дигидрат                              ;            ;CHN+HO             ;0,03;  орг.зап.        ;4
152; 2,2-Бис(4-гидрокси-3,5-дихлорфенил)пропан            ;            ;CHClO              ;0,1; орг.привк.       ;4
153; 2,2-Бис(гидроксиметил)пропан-1,3-диол                ; 115-77-5   ;CHO                ;0,1;    с.-т.         ;2
154; Бис(N,N-диметил-N-карбодецоксиметилэтилен)аминий-сульфид дихлорид;            ;                   ;0,1;    общ.          ;3
155; Бис(2-метилпропил)амин                               ; 110-96-3   ;CHN                ;0,07; орг.привк.       ;4
156; 2,4-Бис[N-(1-метилэтил)амино]-6-хлор-1,3,5-триазин; 139-40-2   ;CHClN              ;1;  орг.зап.        ;4
157; N,N`-Бис(1-метилэтил)гуанидин гидрохлорид            ;38588-66-8  ;CHN+ClH            ;1;    общ.          ;4
158; N,N`-Бис(1-метилэтил)-6-(метилтио)-1,3,5-триазин-2,4-диамин; 7287-19-6  ;CHNS               ;3;  орг.зап.        ;3
159; 1,4-Бис(1-метилэтил)фенилгидропероксид               ;            ;CHO                ;0,3;    общ.          ;3
160; 2,4(2,6 или 3,5)-Бис(1-метилэтил)фенилгидропероксид;79554-48-6  ;CHO                ;0,6;    общ.          ;3
161; Бис(1-метилэтил)фосфонат                             ; 1809-20-7  ;СНОР               ;0,02;  орг.зап.        ;4
162; 1,2-Бис(1,4,6,9-тетраазотрицикло[4,4,1,1,4,9] додекано)этилиден дигидрохлорид;            ;CHN+ 2ClH          ;0,015;    с.-т.         ;2
163; Бис(трибутилолово)оксид                              ;  56-35-9   ;CHOSn              ;0,0002;    с.-т.         ;1
164; 1,3-Бис(трихлорметил)бензол                          ; 881-99-2   ;CHCl               ;0,008;  орг.зап.        ;4
165; 1,4-Бис(трихлорметил)бензол                          ;  68-36-0   ;CHCl               ;0,03;  орг.зап.        ;4
166; 1,1-Бис(4-хлорфенил)-2,2,2-трихлорэтанол             ; 115-32-2   ;CHClO              ;0,02;    общ.          ;4
167; Бис(2-хлорэтил)-2-хлорэтилфосфонат                   ;            ;CHClOP             ;0,2;    с.-т.         ;2
168; 2,4-Бис(N-этиламино)-6-хлор-1,3,5-триазин            ; 122-34-9   ;CHClN              ; отсутствие  ;   орг.пл.        ;4
169; 4,6-Бис(этиламино)-2-хлор-1,3,5-триазин 2-оксипроизводное;            ;CHClNO             ; отсутствие  ;   орг.пл.        ;4
170; O,O-Бис(2-этилгексил)дитиофосфат                     ; 5810-88-8  ;CHOPS              ;0,02;    с.-т.         ;2
171; 1,1`-Бифенил                                         ;  92-52-4   ;CH                 ;0,001;    с.-т.         ;2
172; 2,2-Бициклогекс-3-ен                                 ;            ;CH                 ;1;    общ.          ;4
173; Бицикло[2,2,1]гепта-2,5-диен                         ; 121-46-0   ;CH                 ;0,004;  орг.зап.        ;4
174; Бицикло[2,2,1]гепт-2-ен                              ; 498-66-8   ;СН                 ;0,004;  орг.зап.        ;4
175; Бор                                                  ; 7440-42-8  ;В                  ;0,5;    c.-т.         ;2
176; Бром                                                 ; 7726-45-6  ;Вг                 ;0,2;    c.-т.         ;2
177; 3-Бромбензальдегид                                   ; 3132-99-8  ;СНВгО              ;0,02;    c.-т.         ;2
178; 7-Бром-1,3-дигидро-5-(2-хлорфенил)-2Н-1,4-бензодиазепин-2-он;51753-57-2  ;CHBrCINO           ;0,8;    c.-т.         ;2
179; О-(4-Бром-2,5-дихлорфенил)-O,O-диметилтиофосфат; 2104-96-3  ;CHBrCIOPS          ;0,01;  орг.зап.        ;4
180; 4-Бром-1-метиламиноантрацен-9,10-дион                ; 128-93-8   ;CHBrNO             ;5;    общ.          ;3
181; Бута-1,3-диен                                        ; 106-99-0   ;CH                 ;0,05;  орг.зап.        ;4
182; Бутан-1-амин                                         ; 109-73-9   ;CHN                ;4;  орг.зап.        ;3
183; Бутан-1,4-дикарбонат натрия                          ;23311-84-4  ;CHNaO              ;1;    с.-т.         ;3
184; Бутан-1,4-дикарбоновая кислота                       ; 124-04-9   ;СНО                ;2;    с.-т.         ;3
185; Бутандинитрил                                        ; 110-61-2   ;CHN                ;0,2;    с.-т.         ;2
186; 1,4-Бутандиол                                        ; 110-63-4   ;СНО                ;5;    с.-т.         ;2
187; Бутановая кислота                                    ; 107-92-6   ;CHO                ;0,7;    общ.          ;4
188; Бутан-1-ол                                           ;  71-36-3   ;СНО                ;0,1;    с.-т-         ;2
189; Бутан-2-ол                                           ;  78-92-2   ;СНО                ;0,2;    с.-т.         ;2
190; Бутан-2-он                                           ;  78-93-3   ;СНО                ;1;  орг.зап.        ;3
191; Бут-1-ен                                             ; 106-98-9   ;CH                 ;0,2;  орг.зап.        ;3
192; (Е)-Бут-2-еналь                                      ; 123-73-9   ;СНО                ;0,3;    с.-т.         ;3
193; (Z)-Бут-2-ендиовая кислота                           ; 110-16-7   ;СНО                ;1;  орг.зап.        ;4
194; 3-(Бут-2-енил)изотиуронийхлорид                      ;            ;                   ;0,1;  орг.пена        ;4
195; Бут-2-енонитрил                                      ; 4786-20-3  ;CHN                ;0,1;    с.-т.         ;2
196; Бут-3-енонитрил                                      ; 109-75-1   ;CHN                ;0,1;    с.-т.         ;2
197; Бутиламид O-этил-S-фенилдитиофосфорной кислоты       ; 4205-52-1  ;CHNOPS             ;0,03;  орг.зап.        ;4
198; Бутилацетат                                          ; 123-86-4   ;СНО                ;0,1;    общ.          ;4
199; Бутилбензол                                          ; 104-51-8   ;СН                 ;0,1;  орг.зап.        ;3
200; N-Бутилбензолсульфамид                               ; 3622-84-2  ;CHNOS              ;0,03;    с.-т.         ;2
201; O-Бутилдитиокарбонат                                 ;            ;CHOS               ;0,001;  орг.зап.        ;4
202; Бутил-2,4-дихлорфеноксиацетат                        ;  94-80-4   ;CHCl               ;0,5;   орг.зал        ;3
203; Бутил-2-метилпроп-2-еноат                            ;  97-88-1   ;СНО                ;0,02;  орг.зап.        ;4
204; Бутилнафталинсульфонат натрия                        ;            ;CHNaOS             ;0,1;  орг.зап.        ;3
205; Бутилнитрит                                          ; 544-16-1   ;CHNO               ;0,05;  орг.зап.        ;4
206; Бутилпроп-2-еноат                                    ; 141-32-2   ;CHO                ;0,01; орг.привк.       ;4
207; 2-Бутилтиобензотиазол                                ; 2314-17-2  ;CHNS               ;0,005;  орг.зап.        ;4
208; Бутил-2-(3-циклогексилуреидо)циклопент-1-ен-1-карбонат;            ;CHNO               ;0,05;   орг.пл.        ;4
209; Бут-2-ин-1,4-диол                                    ; 110-65-6   ;СНО                ;1;    с.-т.         ;2
210; 1-Бутоксибут-1-ен-3-ин                               ; 2798-72-3  ;CHO                ;0,002;  орг.зап.        ;4
211; Бутоксиэтен                                          ; 111-34-2   ;СНО                ;0,003;    общ.          ;3
212; Ванадий                                              ; 7440-62-2  ;V                  ;0,1;    с.-т.         ;3
213; ВА-2-Т (поливинилтолуольный флокулянт)               ;            ;                   ;0,5;    с.-т.         ;2
214; ВА-102 (флокулянт)                                   ;            ;                   ;2;    с.-т.         ;2
215; ВА-212 (флокулянт)                                   ;            ;                   ;2;    с.-т.         ;2
216; Висмут                                               ; 7440-69-9  ;Bi                 ;0,1;     с-т          ;2
217; Вольфрам                                             ; 7440-33-7  ;W                  ;0,05;    с.-т.         ;2
218; Выравниватель А                                      ;            ;                   ;0,3;  орг.пена        ;4
219; Галактоманнан, неионогенный полисахарид              ; 9000-30-0  ;[CHO]n             ;0,5;  орг.зап.        ;3
220; Гексагидро-1Н-азепин гидрохлорид                     ;            ;CHN+ ClH           ;5;    с.-т.         ;2
221; Гексагидро-2Н-азепин-2-он                            ; 105-60-2   ;CHNO               ;1;    общ.          ;4
222; 1,4,4а,5,8,8а-Гексагидро(1альфа,4альфа,4альфабета,5альфа,8альфа,8альфа бета)-1,2,3,4,10,10-гексахлор-1,4:5,8-диметанонафталин; 309-00-2   ;CHCl               ;0,002; орг.привк.       ;3
223; 2,3,За,4,7,7а-Гексагидро-2,4,5,6,7,8,8-гептахлор-4,7-метаноинден; 4168-01-5  ;CHCl               ;0,1;  орг.зап.        ;4
224; 1,3,4,5,6,7-Гексагидро-1,3-диоксо-2Н-изоиндол-2-илметил-2,2-диметил-3-(2-метилпроп-1-енил)циклопропан-1-карбонат; 7696-12-0  ;CHNO               ;1;    общ.          ;4
225; 3-(Гексагидро-4,7-метаниндан-5-ил)-1,1-диметиларбамид;            ;CHNO               ;2;    с.-т.         ;2
226; 2,3,3-альфа,4,5,6-Гексагидро-8-циклогексил-1Н-пиразино[3,2,1- i,k]карбазола гидрохлорид;            ;CHN+ClH            ;0,002;    с.-т.         ;1
227; 9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2-Гексадекафторнонаноат аммония;            ;CHFNO              ;2;    с.-т.         ;2
228; 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-Гексадекафторнонан-1-ол; 376-18-1   ;CHFO               ;0,25;  орг.зап.        ;4
229; Гексаметилендиамингександиоат                        ; 3323-53-3  ;CHNO               ;1;    общ.          ;3
230; Гексаметилентетрамин                                 ; 100-97-0   ;CHN                ;0,5;    с.-т.         ;2
231; Гексаметилполидиметилполиметил[3-(трифтор)пропил]силоксан;            ;                   ;10;   орг.пл.        ;3
232; N,N`Гексан-1,6-диилбискарбамид                       ; 2188-09-2  ;CHNO               ;2,5;  орг.зап.        ;4
233; Гексанитрокобальтиат калия                           ;            ;                   ;1;    с.-т.         ;2
234; Гексан-1-ол                                          ; 111-27-3   ;CHO                ;0,01;    с.-т.         ;2
235; Гекса(3-трифторпропил)полидиметил(полиметил)трифторпропилсилоксан;            ;                   ;5;   орг.пл.        ;4
236; Гексахлорбензол                                      ; 118-74-1   ;CCl                ;0,001;    с.-т.         ;1
237; Гексахлорбутадиен                                    ;  87-68-3   ;CCl                ;0,0006;    с.-т.         ;1
238; Гексахлорбутан                                       ;            ;CHCl               ;0,01;  орг.зап.        ;3
239; 4,5,6,7,8,8-Гексахлор-За,4,7,7а-тетрагидро-4,7-метаноизобензофуран; 115-27-5   ;CHClO              ;1;  орг.зап.        ;3
240; 4,5,6,7,8,8-Гексахлор-За,4,7,7а-тетрагидро-2-(2-метилфенил)-4,7-метано-1Н-изоиндол-1,3(2Н)-дион;18709-04-1  ;CHClNO             ;0,1;    общ.          ;3
241; 1,2,3,4,5,6-Гексахлорциклогексан                     ; 608-73-1   ;CHCl               ;0,02;  орг.зап.        ;4
242; 1,2,3,4,5,5-Гексахлорциклопента-1,3-диен;  77-47-4   ;CHCl               ;0,001;  орг.зап.        ;3
243; Гексахлорэтан                                        ;  67-72-1   ;CCl                ;0,01;  орг.зап.        ;4
244; Гептан-1-ол                                          ; 111-70-6   ;СНО                ;0,005;    с.-т.         ;2
245; 1,4,5,6,7,8,8-Гептахлор-За,4,7,7а-тетрагидро-4,7-метано-1Н-инден;  76-44-8   ;CHCl               ;0,05;    с.-т.         ;2
246; Гидразин                                             ; 302-01-2   ;HN                 ;0,01;    с.-т.         ;2
247; альфа-Гидро-(омега-гидроксиполи(оксиэтан-1,2-диил) мол. масса 2-3 млн.;25322-68-3  ;[СНО]n             ;0,1;    общ.          ;4
248; альфа-Гидро-(альфа-гидроксиполи(оксиэтан-1,2-диил) мол. масса 5 млн.;25322-68-3  ;[СНО]n             ;0,02;    общ.          ;4
